Plant_ID,n_inflor
AcalT1M1,1
AcalT1M2,1
AcalT1M3,1
AcalT2M1,1
AcalT2M2,1
AcalT2M3,1
AfreT1M1,1
AfreT1M2,1
AfreT1M3,2
AfreT2M1,1
AfreT2M2,2
AfreT2M3,1
AglaT1M1,2
AglaT1M2,1
AglaT1M3,2
AglaT2M1,5
AglaT2M2,2
AglaT2M3,2
BcalT1M1,1
BcalT1M2,1
BcalT1M3,2
BcalT2M1,1
BcalT2M2,1
BcalT2M3,1
BfreT1M1,1
BfreT1M2,1
BfreT1M3,6
BfreT2M1,1
BfreT2M2,2
BfreT2M3,2
BglaT1M1,6
BglaT1M2,3
BglaT1M3,4
BglaT2M1,4
BglaT2M2,2
BglaT2M3,2
CcalT1M1,1
CcalT1M2,3
CcalT1M3,1
CcalT2M1,1
CcalT2M2,1
CcalT2M3,1
CfreT1M1,1
CfreT1M2,1
CfreT1M3,1
CfreT2M1,1
CfreT2M2,1
CfreT2M3,3
CglaT1M1,1
CglaT1M2,1
CglaT1M3,2
CglaT2M1,2
CglaT2M2,1
DcalT1M1,1
DcalT1M2,1
DcalT1M3,2
DcalT2M1,2
DcalT2M2,1
DcalT2M3,1
DfreT1M1,1
DfreT1M2,1
DfreT1M3,1
DfreT2M1,1
DfreT2M2,1
DfreT2M3,1
DglaT1M1,1
DglaT1M2,7
DglaT1M3,4
DglaT2M1,3
DglaT2M2,2
DglaT2M3,3
EcalT1M1,1
EcalT1M2,1
EcalT1M3,1
EcalT2M1,1
EcalT2M2,1
EcalT2M3,1
EfreT1M1,1
EfreT1M2,1
EfreT1M3,1
EfreT2M1,1
EfreT2M2,4
EfreT2M3,3
EglaT1M1,4
EglaT1M2,3
EglaT1M3,2
EglaT2M1,2
EglaT2M2,2
EglaT2M3,2
FcalT1M1,1
FcalT1M2,1
FcalT1M3,3
FcalT2M1,1
FcalT2M2,1
FfreT1M1,1
FfreT1M2,2
FfreT1M3,1
FfreT2M1,5
FfreT2M2,1
FglaT1M1,1
FglaT1M2,2
FglaT1M3,2
FglaT2M1,1
FglaT2M2,1
FglaT2M3,2
GcalT1M1,1
GcalT1M2,1
GcalT1M3,1
GcalT2M1,1
GcalT2M2,1
GcalT2M3,1
GfreT1M1,1
GfreT1M2,1
GfreT1M3,1
GfreT2M1,1
GfreT2M2,1
GglaT1M1,2
GglaT1M2,1
GglaT1M3,3
GglaT2M1,2
GglaT2M2,1
GglaT2M3,1
HcalT1M1,1
HcalT1M2,1
HcalT1M3,1
HcalT2M1,1
HcalT2M2,1
HcalT2M3,1
HfreT1M1,2
HfreT1M2,1
HfreT1M3,1
HfreT2M1,1
HfreT2M2,1
HfreT2M3,1
HglaT1M1,3
HglaT1M2,5
HglaT1M3,2
HglaT2M1,4
HglaT2M2,3
HglaT2M3,4
IcalT1M1,2
IcalT1M2,1
IcalT1M3,2
IcalT2M1,1
IcalT2M2,1
IcalT2M3,1
IfreT1M1,1
IfreT1M2,1
IfreT1M3,1
IfreT2M1,1
IfreT2M2,1
IfreT2M3,1
IglaT1M1,2
IglaT1M2,2
IglaT1M3,2
IglaT2M1,3
IglaT2M2,2
IglaT2M3,1
JcalT1M1,2
JcalT1M2,2
JcalT1M3,2
JcalT2M1,1
JcalT2M2,1
JcalT2M3,1
JfreT1M1,1
JfreT1M2,1
JfreT1M3,1
JfreT2M1,2
JfreT2M2,2
JfreT2M3,3
JglaT1M1,2
JglaT1M2,2
JglaT1M3,4
JglaT2M1,3
JglaT2M3,2
